Question,A,B,C,D,Correct Option,Main Branch,Sub-Branch,GPT-3.5,GPT-4,Eval GPT-3.5,Eval GPT-4
The scale that is used to measure the loudness of sound measures their loudness in what?,decibels,waves,weight,centimeters,A,Physics,Acoustics,A,A,1,1
What hits the eardrum and causes it to vibrate?,decibels,sound waves,cilia,microwaves,B,Physics,Acoustics,B,B,1,1
The frequency of a wave is the reciprocal of what other attribute of the wave?,period,amplitude,length,term,A,Physics,Acoustics,A,A,1,1
What were the first particles with mass to be directly confirmed to have the wavelength proposed by de broglie?,protons,negatrons,ions,electrons,D,Physics,Acoustics,D,D,1,1
What is the time interval required for one complete wave to pass a point called?,period,minute,cycle,half-life,A,Physics,Acoustics,A,A,1,1
What is the matter through which sound waves travel?,mass,dust,medium,air,C,Physics,Acoustics,C,D,1,0
What quality of sound makes a tuba and a piccolo very different to a listener?,tune,wavelength,pitch,curve,C,Physics,Acoustics,C,C,1,1
What are the high points in a transverse wave called?,peaks,apex,waves,crests,D,Physics,Acoustics,A,D,0,1
The bottoms—but not the tops—of the wave slow down because of what?,friction,size,vibration,temperature,A,Physics,Acoustics,A,A,1,1
What waves do radio and television use?,radio waves,sound waves,light waves,gamma waves,A,Physics,Acoustics,A,A,1,1
What is the term for the method of sending out ultrasound waves to determine the locations of objects?,echolocation,magnetism,catabolism,morphology,A,Physics,Acoustics,A,A,1,1
Two types of interference found in waves are constructive and what else?,conductive,osmotic,primitive,destructive,D,Physics,Acoustics,D,D,1,1
What occurs when waves interact with other waves?,vibration,resurgence,frequency,interference,D,Physics,Acoustics,D,D,1,1
What kind of motion characterizes waves?,repetitive,round,breathing,bending,A,Physics,Acoustics,A,A,1,1
The lowest resonant frequency is called the what?,simplest,fundamental,lowest,basic,B,Physics,Acoustics,B,B,1,1
What is the general name for a wave that travels along the surface of a medium?,speed wave,stack wave,surface wave,light wave,C,Physics,Acoustics,C,C,1,1
What is a form of mechanical energy that starts with a vibration in matter?,solar energy,electrical energy,industrial energy,sound energy,D,Physics,Acoustics,D,D,1,1
What is the wavelength of light expressed in?,nanoseconds,nanometers (nm),millimeters,vatts,B,Physics,Acoustics,B,B,1,1
The characteristic sound of a motorcycle buzzing by is an example of which effect?,coreolis effect,doppler effect,warp effect,polar effect,B,Physics,Acoustics,B,B,1,1
What is the term used to measure the intensity of sound waves?,amplitude,phon,decibel,hertz,C,Physics,Acoustics,C,C,1,1
In what unit is frequency measured in?,hertz,centimeter,mole,gram,A,Physics,Acoustics,A,A,1,1
What is the term for the height of the wave?,amplitude,frequency,magnitude,vibration,A,Physics,Acoustics,A,A,1,1
The high points of a transverse wave are called what?,valleys,crests,ridges,points,B,Physics,Acoustics,B,B,1,1
Wavelengths are described by a unit of what?,distance,direction,weight,speed,A,Physics,Acoustics,A,A,1,1
"Dependent on the frequency of sound waves, what term described how high or low a sound seems to a listener?",curve,wavelength,direction,pitch,D,Physics,Acoustics,D,D,1,1
What type of energy travels through matter in wave form?,vibrational,magnetic,sound,light,C,Physics,Acoustics,C,D,1,0
What is the bending of waves around a corner called?,reflection,propulsion,absorption,diffraction,D,Physics,Acoustics,D,D,1,1
What term describes waves that travel through matter?,mechanical waves,water waves,replaced waves,heat waves,A,Physics,Acoustics,A,A,1,1
"What energy, produced by vibrations, cannot travel through empty space?",sound,heat,light,plasma,A,Physics,Acoustics,A,A,1,1
"The variable is the speed of light. for the relationship to hold mathematically, if the speed of light is used in m/s, the wavelength must be in meters and the frequency in what?",miles,gigawatts,centimeters,hertz,D,Physics,Acoustics,D,D,1,1
What term describes waves that transfer energy through matter?,temperature waves,mechanical currents,mechanical waves,energy currents,C,Physics,Acoustics,C,C,1,1
How many times does the height of the largest wave increase with each level?,100 times,10 times,20 times,5 times,B,Physics,Acoustics,B,,1,0
An obstacle or opening that is shorter than the wavelength causes greater diffraction of what?,tides,waves,ranges,particles,B,Physics,Acoustics,B,B,1,1
A wave is the transfer of energy through what else?,matter,air,liquid,gas,A,Physics,Acoustics,A,A,1,1
Amplitude describes what about the wave's crest and trough?,The minimum parts,How frequently the parts occur,the maximum parts,The width of the parts,C,Physics,Acoustics,C,C,1,1
Banging on a drum is an example of which type of energy?,molecular,solar.,mechanical,potential,C,Physics,Acoustics,C,C,1,1
The distance between corresponding points of adjacent waves is known as the __________,wavelength,bandwidth,absorption,amplitude,A,Physics,Acoustics,A,A,1,1
The number of waves that pass a fixed point in a given amount of time is called what?,frequency of a wave,wavelength of a wave,spectroscopy of a wave,spread of a wave,A,Physics,Acoustics,A,A,1,1
The highest point of a wave is called?,surge,crest,threshold,frequency,B,Physics,Acoustics,B,B,1,1
What is the interaction of waves with other waves called?,wave induction,wave mixing,wave dancing,wave interference,D,Physics,Acoustics,D,D,1,1
"When a wave travels down a string, the string vibrates up and down at right angles to the wave's what?",pressure,frequency,direction,gravity,C,Physics,Acoustics,C,C,1,1
Which waves have the longest wavelengths but the least energy in the atmosphere?,channel waves,radio waves,microwaves,light waves,B,Physics,Acoustics,B,B,1,1
"In the case of transverse waves, the movement of the medium is perpendicular to the direction of the what?",energy movement,friction movement,pressure movement,fuel movement,A,Physics,Acoustics,A,A,1,1
"When waves of two different frequencies interfere, what phenomenon occurs?",beating,making,opening,soaking,A,Physics,Acoustics,A,A,1,1
What is it called when waves interact with other waves?,combination interference,wave impact,wave collision,wave interference,D,Physics,Acoustics,D,D,1,1
What occurs when two waves combine and cancel each other out?,terrible interference,primitive interference,molecular interference,destructive interference,D,Physics,Acoustics,D,D,1,1
"In a transverse wave, the highest point the wave reaches is known as the?",valley,flow,crest,axis,C,Physics,Acoustics,C,C,1,1
Two important types of waves include longitudinal waves and what other kind?,slow,phenomena,irregular,transverse,D,Physics,Acoustics,D,D,1,1
The wavelength of a wave is the distance between corresponding points on what?,adjacent waves,distant waves,spectrum,basic waves,A,Physics,Acoustics,A,A,1,1
"In frequency, the larger the air column, the larger the what?",mass,wavelength,gravity,absorption,B,Physics,Acoustics,B,B,1,1
What changes encoded waves which are being broadcast into sounds?,amplifiers,radio receivers,transmitters,band receivers,B,Physics,Acoustics,C,B,0,1
"What term describes a wave in which particles of the medium vibrate at right angles, or perpendicular, to the direction that the wave travels?",transverse wave,drainage wave,symmetrical wave,stimulation wave,A,Physics,Acoustics,A,A,1,1
"Often determining the strength or intensity of a wave, this term is the distance from the equilibrium point of motion to either its lowest or highest point?",density,amplitude,frequency,peak,B,Physics,Acoustics,B,B,1,1
Wave amplitude and wavelength are two important measures of what?,wave speed,wave sound,wave size,wave harmfulness,C,Physics,Acoustics,C,C,1,1
Why do waves travel faster through solids?,particles range together,particles fuse together,particles closer together,particles pipe together,C,Physics,Acoustics,C,C,1,1
"The distance between two crests of a wave of light is referred to as what, which is related to the color of light?",magnitude,spectrum,bandwidth,wavelength,D,Physics,Acoustics,D,D,1,1
The what is the number of wave cycles that pass a specified point in space in a specified amount of time?,frequency,intensity,vibrancy,density,A,Physics,Acoustics,A,A,1,1
Dutch scientist christiaan huygens' principle of what states that every point on a wavefront is a source of wavelets that spread out in the forward direction at the speed of the wave itself?,electromagnetic dynamics,wave propagation,energy propagation,wave dynamics,B,Physics,Acoustics,B,B,1,1
The bending of a wave around the edges of an opening or an obstacle is called this?,sputtering,diffraction,reflection,absorption,B,Physics,Acoustics,B,B,1,1
Debroglie proposed in 1924 that any object exhibits a wavelength that is inversely proportional to its?,inertia,frequency,velocity,momentum,D,Physics,Acoustics,C,D,0,1
What is the ratio of a wave frequency to its vibration frequency?,one,same,two,three,B,Physics,Acoustics,B,B,1,1
What is the term for a disturbance in matter that causes the transfer of energy from place to place?,nucleation,mechanical wave,flooding wave,temperature wave,B,Physics,Acoustics,B,B,1,1
What helps sound travel in waves?,speaker placements,molecules,temperatures,gases,D,Physics,Acoustics,B,B,0,0
