Question,A,B,C,D,E,Correct Option
The craftsman used elaborate joinery and paneling for the what of the saloon?,swing door,entrance,wall,sliding door,exterior door,A
"He wanted a saxophone, so he went where?",grocery store,case,marching band,orchestra,music store,E
Where will a book being read by one person be kept?,school room,university,bedside table,pantry,discount store,C
"I forgot to pay the electricity bill, now what can't I do with my ground pump?",put in to the water,cause fire,produce heat,short fuse,shock,C
Where is a dish usually used?,picnic,sink,kitchen cabinet,table,pantry,D
"The fight enemy choice had led him to a grave injury, he was now what?",dying,victory,casualties,protect yourself,death,A
What is not a reason that you would want to be going for run?,pull muscle,breathlessness,better health,trip,losing weight,B
What can you put in a parking lot?,car,town,circus,city,business district,A
Joe was driven by curiosity to take up a career doing what?,use television,see exhibits,read book,design software,taking a walk,D
"If you're betting with a shark, where are you likely playing?",aquarium,mediterranean sea,south pacific,pool hall,pacific ocean,D
Where would you give something other than money to a clerk?,ticket booth,at hotel,shop,bookstore,post office,E
Awaking in the middle of the night may cause what?,depression,irritability,shock,discomfort,alertness,B
What sort of organization do employees usually work for?,a business,meeting,corporation,company,office,D
Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,state park,bus depot,garden,gym,rest area,C
"If you aren't glad, unhappy or gloomy, what illness may you have?",depressed,downcast,angry,unhappy,sorrowful,A
In a court what group passes a sentence?,sure,arrive at conviction,on jury,judgemental,mom,C
which door with lock regularly holds cars?,house,autolock,garage,file cabinet,safe,C
Why would we handle glass with care ?,many different colors,cut vegetables,break easily,melt,hold water,C
What kind of box does a fish live in?,aquarium,ocean,pond,bay,river,A
What eastern continent would you travel to in order to see a gazelle in their disneyland's zoo?,australia,wildlife refuge,ivory coast,open plain,asia,E
What could stop someone from opening business?,get rich,may be occured failure..,wealth,busy,failure,D
"She couldn't wait to see the performance, she stood in the line for the box office where?",theatre,venue,theater district,movie theater,ballpark,A
Where are you likely to find melted cheese?,refrigerator,bread,fridge,pizza,market,D
"Out changing society meets a lot of resistance by people who like the old way of things.   But slowly, new ways gain what?",happy times ahead,change in leadership,better standard of living,no water,acceptance,E
"His favorite general store had most things, and if it didn't it was conveniently located with other shops in the what?",shopping mall,barn,salt,old west,checkers,A
"To gain her trust the real estate agent was very polite, delightful and all around what?",manipulate,charming,deceive,exaggerate,incompetent,B
A student should not do what while their instructor is lecturing?,play piano,talk,talk on their phone,study engineering,read book,B
"If a crowd of people being to panic, what might they do?",destroy each other,run amok,die,desire to win,talk to each other,B
Where would you find fungus in a university?,cave,biology laboratory,decaying matter,mushroom hunting,old cheese,B
Where could you put some knives if you are planning to bring them outside with you?,purse,backpack,drawer,sporting goods store,kitchen,B
When having food it is common to do what other act of consumption?,drinking,playing poker,sit,talk,being greedy,A
What is learning about the world and it's injustices  likely to cause?,anger,loss of innocence,happiness,pleasure,enlightenment,A
Having lunch too many times can result in what?,you die,obesity,feeling satisfied,feel full,digestion,B
"The Mormon owned steak house was always busy, it was a great place to visit where?",utah,nebraska,the sun,new york,strip mall,A
Where is somewhere you stop to go to the bathroom when on the road?,school,rest area,at hotel,friend's house,educational area,B
"I want to make new friends when I socialize at the party, what should I do?",find friends,sing,mix,with people,see people,C
What goes well with drinks?,show,bar,soda,dinner,refrigerator,D
How do you signal that you are agreeing with someone on a deal?,lie,nodding,shaking hand,nod and smile,whistle,C
What kind of tour is someone likely to see the eiffel tower on?,garage,movies,in europe,paris,bus,C
What city would you find a temple containing men with shaved heads?,jewish community,nepal,middle east,timbuktu,india,B
What do I cook on the stove when I want to make tacos?,brown meat,mexico,open can,bake bread,warm food,A
Dan is very creative. He likes to read and wants to make something like that.   On a rainy day he tries his hand.  What might he do?,write,go to movie,stay in bed,enjoy film,make bread,A
Where might someone find a very nice flat?,city,shoes,apartment building,town,london,E
"China transports lots of cargo, one way is by sea in a very large what?",ship's hold,boat,bus,aeroplane,airplane,B
"If people are told something controversial, what do they do next?",hope for peace,believe in god,start fighting,form opinions,worship idols,D
Where could you find a policeman that is sitting down?,front door,office,police station,street,roadblock,C
Where is small knight likely to be found?,fairy tale,castle,middle ages,chess board,doll house,D
Beavers are native to the northwest of north american such as what canadian region?,british columbia,woodlands,wooded area,niagara falls,body of water,A
"The small dog was something of a homebody, it loved naps on the couch where?",big house,dog show,small apartment,limousine,living room,E
"If something is dull, what would it be after you fixed it?",sharp,bright,exciting,interesting,intelligent,A
Where are people likely to enjoy a show?,theater,wedding,in the garden,opera,convention,A
"I brought the mail in, where should I put it?",neighbor's house,post office,fridge,table,bathroom,D
"The child wanted his cereal bowl and knew he could reach it, where would he find it?",breakfast food,china shop,kitchen cabinet,refrigerator,cupboard,C
