Question,A,B,C,D,Correct Option,Subject,Topic,Category
Suppose Maria decides to go as a ghost. Which result would be a cost?,Maria will get to wear the costume she is more excited about.,Maria will spend some time and money to get the costume.,,,B,Social science,Economics,Basic economic principles
"The city of Norwood has been one of the world's biggest makers of cough drops for many years. But last month, Norwood's cough drop factories were destroyed by floods. What will probably happen to the overall supply of cough drops?",The supply will probably go down.,The supply will probably go up.,,,A,Social science,Economics,Supply and demand
Suppose Tammy decides to borrow the book from the library. Which result would be a cost?,Tammy will give up the chance to keep the book as long as she wants.,Tammy will save some money by not buying the book.,,,A,Social science,Economics,Basic economic principles
Suppose Sidney decides to eat the string cheese. Which result would be a cost?,Sidney will get to eat the string cheese. The string cheese will be healthier than the vanilla custard would have been.,Sidney will give up the chance to eat the vanilla custard. Sidney thinks vanilla custard would have tasted better than string cheese will.,,,B,Social science,Economics,Basic economic principles
Suppose Tristan decides to eat the oatmeal cookies. Which result would be a cost?,Tristan will give up the chance to eat the raisins. The raisins would have been healthier than the oatmeal cookies.,Tristan will get to eat the oatmeal cookies. Tristan thinks oatmeal cookies will taste better than raisins would have.,,,A,Social science,Economics,Basic economic principles
Suppose Samuel decides to take a trip to California. Which result would be a cost?,Samuel will give up the chance to go to South Carolina. He would have enjoyed a trip to South Carolina more than California.,Samuel will save some money. Plane tickets for Samuel to get to California are less expensive than tickets to South Carolina.,,,A,Social science,Economics,Basic economic principles
"Last year, there were seven men's clothing stores on Main Street in Lowell. This year, there are only three. What probably happened to the overall supply of men's shirts in Lowell?",The supply probably went down.,The supply probably went up.,,,A,Social science,Economics,Supply and demand
"The city of Milford has been one of the world's biggest makers of cough drops for many years. But last month, Milford's cough drop factories were destroyed by floods. What will probably happen to the overall supply of cough drops?",The supply will probably go up.,The supply will probably go down.,,,B,Social science,Economics,Supply and demand
Is there a surplus or a shortage of hats?,shortage,surplus,,,B,Social science,Economics,Supply and demand
Suppose John decides to take a trip to Kansas. Which result would be a cost?,John will spend more money. Plane tickets for John to get to Kansas are more expensive than tickets to West Virginia.,John will enjoy his trip to Kansas more than he would have enjoyed a trip to West Virginia.,,,A,Social science,Economics,Basic economic principles
Suppose Rebecca decides to take a trip to Florida. Which result would be a cost?,Rebecca will spend more money. Plane tickets for Rebecca to get to Florida are more expensive than tickets to Michigan.,Rebecca will enjoy her trip to Florida more than she would have enjoyed a trip to Michigan.,,,A,Social science,Economics,Basic economic principles
Is painting a house a good or a service?,a good,a service,,,B,Social science,Economics,Basic economic principles
Suppose Doug decides to borrow the book from the library. Which result would be a cost?,Doug will save some money by not buying the book.,Doug will give up the chance to keep the book as long as he wants.,,,B,Social science,Economics,Basic economic principles
Is fixing a sink a good or a service?,a good,a service,,,B,Social science,Economics,Economics
Suppose Lauren decides to go as a superhero. Which result would be a cost?,Lauren will save some time and money. She won't have to go out and get a new costume.,Lauren will give up the chance to wear the costume she is more excited about.,,,B,Social science,Economics,Basic economic principles
Suppose Dan decides to make beef barley soup. Which result would be a cost?,The beef barley soup will be tastier than the split pea soup would have been.,Dan will spend more time making the beef barley soup than he would have spent making the split pea soup.,,,B,Social science,Economics,Basic economic principles
