Question,A,B,C,D,Correct Option,Main Branch,Sub-Branch
What type of organism is commonly used in preparation of foods such as cheese and yogurt?,gymnosperms,protozoa,mesophilic organisms,viruses,C,Biology,Microbiology
What phenomenon makes global winds blow northeast to southwest or the reverse in the northern hemisphere and northwest to southeast or the reverse in the southern hemisphere?,centrifugal effect,coriolis effect,muon effect,tropical effect,B,Earth Sciences,Atmospheric Science
Changes from a less-ordered state to a more-ordered state (such as a liquid to a solid) are always what?,reactive,unbalanced,exothermic,endothermic,C,Physics,Thermodynamics
What is the least dangerous radioactive decay?,gamma decay,alpha decay,beta decay,zeta decay,B,Physics,Nuclear and Particle Physics
Kilauea in hawaii is the world’s most continuously active volcano. very active volcanoes characteristically eject red-hot rocks and lava rather than this?,carbon and smog,greenhouse gases,smoke and ash,magma,C,Earth Sciences,Geology
"When a meteoroid reaches earth, what is the remaining object called?",meteor,comet,orbit,meteorite,D,Physics,Astronomy
"Organisms categorized by what species descriptor demonstrate a version of allopatric speciation and have limited regions of overlap with one another, but where they overlap they interbreed successfully?.",fitting species,surface species,ring species,species complex,C,Biology,Evolutionary Biology
Alpha emission is a type of what?,radiation,heat,radioactivity,light,C,Physics,Nuclear and Particle Physics
What is the stored food in a seed called?,membrane,pollin,larval,endosperm,D,Biology,Botany
"Zinc is more easily oxidized than iron because zinc has a lower reduction potential. since zinc has a lower reduction potential, it is a more what?",much metal,Trap metal,usually metal,active metal,D,Chemistry,Physical Chemistry
What is controlled by both genes and experiences in a given envionment?,animal behaviors,reflexes,instincts,learned behaviors,A,Biology,Genetics
What are used to write nuclear equations for radioactive decay?,critical symbols,trigonometric symbols,nuclear symbols,radioactive symbols,C,Physics,Nuclear and Particle Physics
What is controlled by regulatory proteins that bind to regulatory elements on dna?,mRNA,amino acids,substance transcription,gene transcription,D,Biology,Biochemistry
Boron only occurs naturally in compounds with what element?,oxygen,nitrogen,helium,carbon,A,Chemistry,Inorganic Chemistry
What organ systems link exchange surfaces with cells throughout the body?,pulmonary,vascular,circulatory,nervous,C,Biology,Anatomy/Physiology
What occurs when the immune system attacks a harmless substance that enters the body from the outside?,panic attack,allergy,nausea,plague,B,Biology,Anatomy/Physiology
"Fertilization is the union of a sperm and egg, resulting in the formation of what?",a cytoplasm,a nuclei,a zygote,a bacteriophage,C,Biology,Reproductive Biology
The plants alternation between haploid and diploud generations allow it to do what?,reproduce sexually and autonomously,reproduce asexually and simultaneously,reproduce asexually and biologically,reproduce asexually and sexually,D,Biology,Botany
Most of the chemical reactions in the body are facilitated by what?,enzymes,proteins,vitamins,carbohydrates,A,Biology,Biochemistry
What is the termination of a pregnancy in progress called?,miscarriage,contraception,delivery,abortion,D,Biology,Reproductive Biology
"Cutting down on the use of chemical fertilizers and preserving wetlands are ways to prevent what ""unlivable"" regions in bodies of water?",dead zones,hostile zones,inhabitable zones,fresh zones,A,Environmental Science,Environmental Science
Which muscles allow your fingers to also make precise movements for actions?,motoric muscles,intrinsic muscles,paired muscles,fine movement muscles,B,Biology,Anatomy/Physiology
This sharing of electrons produces what is known as a covalent bond. covalent bonds are ~20 to 50 times stronger than what?,van der waals interactions,Newton's third law,Mendelian systems,gravitational pull,A,Chemistry,Inorganic Chemistry
A small scale version of what type of map displays individual rock units?,geographic map,geologic map,seismic map,polar map,B,Earth Sciences,Geology
What is defined as a change in the inherited traits of organisms over time?,evolution,divergence,variation,generation,A,Biology,Evolutionary Biology
"What hormone, which is associated with luteinizing hormone and male sexuality, helps bring about physical changes in puberty?",steroids,epinephrine,estrogen,testosterone,D,Biology,Reproductive Biology
Where do angiosperms produce seeds in flowers?,ovaries,germs,cones,testes,A,Biology,Botany
"In order to create food, what do photosynthetic protists use?",thermal energy,hydrocarbons,decayed matter,light energy,D,Biology,Botany
What type of vertebrates are birds?,invertebrates,endothermic tetrapod,epidermal tetrapod,exothermic,B,Biology,Zoology
What type of ions do ionic compounds contain?,regular and irregular,positive and charged,positive and negative,negative and neutal,C,Chemistry,Inorganic Chemistry
All living things need air and this to survive?,habitat,stimuli,water,ecosystem,C,Biology,Ecology
The cells of all eukarya have a what?,chloroplast,epidermis,nucleus,necrosis,C,Biology,Cell Biology
What type of plate boundaries produce huge mountain ranges in the ocean basin?,coherent,parallel,divergent,tractional,C,Earth Sciences,Geology
Interstitial carbides are produced by the reaction of most transition metals at high temperatures with what element?,hydrogen,oxygen,carbon,nitrogen,C,Chemistry,Inorganic Chemistry
"Fungus-like protist saprobes play what role in a food chain and are specialized to absorb nutrients from nonliving organic matter, such as dead organisms or their wastes?",aphids,Soil,fluxes,decomposers,D,Biology,Ecology
What are the sites of protein synthesis or assembly?,chloroplasts,chromosomes,plasma,ribosomes,D,Biology,Cell Biology
What must replicate in the cell cycle before meiosis i takes place?,cell walls,sperm,meiotic fluid,dna,D,Biology,Genetics
What phenomenon is primarily the result of plate tectonic motions?,eruption,tsunamis,earthquake,volcanoes,C,Earth Sciences,Geology
What is a group of neuron cell bodies in the periphery called?,crystals,ganglion,organism,gangism,B,Biology,Anatomy/Physiology
Gases are most ideal at high temperature and what pressure?,absolute,low,high,stable,B,Physics,Thermodynamics
Hard igneous rocks and easily dissolved sedimentary rocks respond very differently to what natural force?,gravity,sunlight,weathering,evaporation,C,Earth Sciences,Geology
How many people die from air pollution each year?,14 million,17 million,5 million,22 million,D,Environmental Science,Environmental Science
What substances serve as catalysts in most of the biochemical reactions that take place in organisms?,carbohydrates,hormones,iseotrops,enzymes,D,Biology,Biochemistry
The formation of an amalgam allows the metal to react with what?,helium and oxygen,cloth and plastic,air and water,blood and sweat,C,Chemistry,Inorganic Chemistry
A pulley changes the direction of the force t exerted by the cord without changing its what?,latitude,longitude,magnitude,position,C,Physics,Mechanics
What is the name of the small bumps that contain taste buds and covers the tongue?,palatine tonsils,lingual tonsils,papillae,cuticle,C,Biology,Anatomy/Physiology
"In the absence of air resistance, all falling objects accelerate at the same rate due to what force?",gravity,velocity,weight,motion,A,Physics,Mechanics
The ability for a plasma membrane to only allow certain molecules in or out of the cell is referred to as what?,selective permeability,total permeability,periodic permeability,moderate permeability,A,Biology,Cell Biology
"In the presence of oxygen, hydrogen can interact to make what?",carbon,helium,water,acid,C,Chemistry,Inorganic Chemistry
What galaxy is our solar system a part of?,Andromeda,Centaurus,milky way,Bode's Galaxy,C,Physics,Astronomy
The angle at which light bends when it enters a different medium is known as what?,frequency,refraction,bounce,resonance,B,Physics,Optics
"Whether the organism is a bacterium, plant, or animal, all living things access energy by breaking down these?",protein molecules,carbohydrate molecules,lipid molecules,oxygen molecules,B,Biology,Biochemistry
Increasing the temperature of n2 molecules increases what energy of motion?,compression energy,residual energy,emotional energy,kinetic energy,D,Physics,Thermodynamics
What form of radiation is the energy emitted by the sun?,electromagnetic,magnetic,seismic,thermal,A,Physics,Astronomy
What is the suns innermost layer called?,solar,surface,core,flare,C,Physics,Astronomy
A growth spurt requires constant divisions of what?,hairs,seeds,cells,proteins,C,Biology,Cell Biology
What's the term for the gradual progression from simple plants to larger more complex ones in an area?,primary succession,complex progression,pattern progression,primary pattern,A,Biology,Ecology
"Fungi may form mutualistic relationships with plants, algae, cyanobacteria, and what?",animals,farmers,plants,eggs,A,Biology,Ecology
Which cycle tracks the flow of nitrogen through an ecosystem?,water cycle,nitrogen reaction,nitrogen cycle,life cycle,C,Biology,Ecology
What consequence of a tornado is responsible for most injuries and deaths?,touring debris,catching debris,falling debris,flying debris,D,Earth Sciences,Geography
What are the only truly innate behaviors in humans called?,flinches,automatic movements,reflexes,feats,C,Biology,Anatomy/Physiology
What happens to the density of air as the altitude decreases?,multiplies,remains the same,decreases,increases,C,Physics,Mechanics
How do some animals change their depth?,metamorphosis,by changing their density,mass migration,spontaneous mutations,B,Biology,Zoology
What phenomenon is crowding out other species and making all the other causes of extinction worse?,human suburbanization,climate change,migration,human overpopulation,D,Biology,Ecology
Dessication is an extreme and usually fatal form of what in animals?,depletion,diarrhea,dehydration,starvation,C,Biology,Zoology
Internal and external forms of what life process occur as simple diffusion due to a partial pressure gradient?,reproduction,metabolism,photosynthesis,respiration,D,Biology,Anatomy/Physiology
The fossil record shows that this type of event is followed by the evolution of new species to fill the habitats where old species lived?,mass extinction,minor extinction,moderate extinction,formation extinction,A,Earth Sciences,Geology
How many chambers does the stomach of a crocodile have?,six,ten,three,two,D,Biology,Zoology
"When populations get close to the carrying capacity, what happens to growth?",slows,dies,halts,spikes,A,Biology,Ecology
"Although air can transfer heat rapidly by convection, it is a poor conductor and thus a good what?",absorber,magnet,transporter,insulator,D,Physics,Thermodynamics
"Most plants grow continuously, except for what periods?",dormant,abnormal,mutant,winter,A,Biology,Botany
What man-made devices in space are used to observe the earth's surface?,satellites,telescopes,crystals,sensors,A,Physics,Astronomy
"Carboxylic acids are weak acids, meaning they are not 100% ionized in what?",ethanol,air,liquid,water,D,Chemistry,Organic Chemistry
"In experiments with garden peas, austrian monk gregor mendel described the basic patterns of what?",preference,behavior,color,inheritance,D,Biology,Genetics
What are unsaturated hydrocarbons with at least one double bond between carbon atoms called?,alkenes,enzymes,amines,peptides,A,Chemistry,Organic Chemistry
What is the opposite of melting?,liquidation,evaporation,compression,freezing,D,Physics,Thermodynamics
"A unique characteristic of mammals is the ability to chew, this happens by the temporalis and the masseter allowing what?",Up and down,Bakward and forward,side-to-side movement,Grinding,C,Biology,Zoology
The activation of what kind of buds induces branching?,leafy buds,lymphatic buds,arterial buds,axillary buds,D,Biology,Botany
Sexual reproduction involves haploid gametes and produces a diploid zygote through what process?,vivisection,fertilization,infection,sedimentation,B,Biology,Reproductive Biology
"All alkanes are composed of carbon and hydrogen atoms, and have similar bonds, structures, and formulas; noncyclic alkanes all have a formula of cnh2n+2. the number of carbon atoms present in an alkane has what?",crippling limit,no limit,done limit,such limit,B,Chemistry,Organic Chemistry
What secures together immovable joints and prevents them from moving?,light collagen,dense collagen,light cartilage,dense cartilage,B,Biology,Anatomy/Physiology
Transform faults are the site of massive what?,vibrations,storms,tornadoes,earthquakes,D,Earth Sciences,Geology
"When water goes above and below its freezing point, what rock-breaking phenomenon is common?",ice locking,ice inverting,ice crushing,ice wedging,D,Earth Sciences,Geology
"The diatoms are unicellular photosynthetic protists that encase themselves in intricately patterned, glassy cell walls composed of silicon dioxide in a matrix of organic particles. these protists are a component of freshwater and these?",waste plankton,land plankton,source plankton,marine plankton,D,Biology,Microbiology
What type of reactions form compounds?,mineral reactions,consumption reactions,physical reactions,chemical reactions,D,Chemistry,Inorganic Chemistry
"Millions of years ago, plants used energy from the sun to form what?",carbon compounds,fossil fuels,evolution,greenhouse gases,A,Biology,Botany
What is the term for the process in which living things with beneficial traits produce more offspring than others do?,natural selection,natural survival,natural process,natural variety,A,Biology,Evolutionary Biology
"In a chemical reaction, the amounts of reactants and products will be constant when what state is attained?",saturation,peak,homogeneity,equilibrium,D,Chemistry,Inorganic Chemistry
What protects a developing flower while it is still a bud?,sepals,petals,shell,lobes,A,Biology,Botany
What is the term for the force of attraction between things that have a mass?,gravity,weight,motion,magnetism,A,Physics,Mechanics
"What are the long, thin protein extensions in most prokaryotic cells called?",cingulum,analyte,flagellum,neutrons,C,Biology,Microbiology
Dialysis is a treatment for failure of what organs?,lungs,liver,kidneys,spleen,C,Biology,Anatomy/Physiology
Renal plasma flow equals the blood flow per minute times the what?,erythrocytes,hematocrit,leukocytes,hemoglobin,B,Biology,Anatomy/Physiology
What does lattice energy of an ionic solid measure the strength of?,metals,atoms,bonds,electrons,C,Chemistry,Inorganic Chemistry
How many different types of taste can be detected by taste buds?,five,two,three,hundreds,A,Biology,Anatomy/Physiology
Titration is a method to determine what in acids or bases?,maturation,concentration,alkalinity,glucose,B,Chemistry,Inorganic Chemistry
How many different amino acids make up proteins.,20,14,25,30,A,Biology,Biochemistry
What are sores in the lining of the stomach or duodenum that are usually caused by bacterial infections or acidity?,clots,ulcers,lesions,hernia,B,Biology,Anatomy/Physiology
"In some species, what has led to the evolution of alternative male mating behavior and morphology?",sexual selection,distributive selection,similar selection,sexual process,A,Biology,Evolutionary Biology
What structure is made from dna and protein molecules coiled together?,bacterium,enzymes,chromosome,atoms,C,Biology,Cell Biology
"The radial artery and which artery parallel their namesake bones, giving off smaller branches until they reach the wrist, or carpal region?",humerus,triceps,biceps,ulnar,D,Biology,Anatomy/Physiology
The bones of the skull are connected by what type of joints?,semi-mobile,immovable,pivoting,adjustable,B,Biology,Anatomy/Physiology
What is the lowest layer of the atmosphere?,chromosphere,ionosphere,lithosphere,troposphere,D,Earth Sciences,Atmospheric Science
What is the name of the type of plant tissue consisting of undifferentiated cells that can continue to divide and differentiate?,guard cell,cuticle,meristem,bundle sheth cell,C,Biology,Botany
Phosphate-containing ocean sediments form primarily from the bodies of ocean organisms and from their what?,skeletons,ancestors,excretions,blood,C,Earth Sciences,Geology
What does erosion do to pieces of broken rock?,lead them,Smooth them,Cancel Them,moves them,D,Earth Sciences,Geology
