Question,A,B,C,D,E,Correct Option,Sub-Branch
"an article is bought for rs . 800 and sold for rs . 1200 , find the loss percent ?", 55 % , 25.25 % , 33.33 % , 45 % , 50 %,E,Gain
a person buys an article at rs . 460 . at what price should he sell the article so as to make a profit of 18 % ?, 542 , 882 , 772 , 662 , 521,A,Gain
"a , b and c started a business with capitals of rs . 8000 , rs . 10000 and rs . 12000 respectively . at the end of the year , the profit share of b is rs . 3000 . the difference between the profit shares of a and c is ?", 621 , 276 , 236 , 600 , 1200,E,Gain
"by selling an article at rs . 800 , a shopkeeper makes a profit of 35 % . at what price should he sell the article so as to make a loss of 25 % ?", s . 416 , s . 480 , s . 429 , s . 128 , s . 419,A,Gain
"from january 1 , 1991 , to january 1 , 1993 , the number of people enrolled in health maintenance organizations increased by 20 percent . the enrollment on january 1 , 1993 , was 50 million . how many million people , to the nearest million , were enrolled in health maintenance organizations on january 1 , 1991 ?", 38 , 39 , 40 , 41 , 42,E,Gain
bruce purchased 8 kg of grapes at the rate of 70 per kg and 9 kg of mangoes at the rate of 55 per kg . how much amount did he pay to the shopkeeper ?, 1040 , 1050 , 1055 , 1065 , 1075,C,Gain
if 10 litres of an oil of rs . 40 per litres be mixed with 5 litres of another oil of rs . 66 per litre then what is the rate of mixed oil per litre ?, rs . 48.66 , rs . 51.03 , rs . 54.17 , rs . 55.33 , none of the above,A,Gain
"there are two concentric circles with radii 8 and 4 . if the radius of the outer circle is increased by 25 % and the radius of the inner circle decreased by 25 % , by what percent does the area between the circles increase ?", 75 , 80 , 85 , 90 , 95,D,Gain
"a distributor sells a product through an on - line store , which take a commission of 20 % of the price set by the distributor . the distributor obtains the product from a producer at the price of $ 15 per item . what is the price that the buyer observers on - line if the distributor wants to maintain a 20 % profit on the cost of the item ?", 18 , 21.6 , 22 , 22.5 , 27,D,Gain
"by selling an article at rs . 600 , a profit of 30 % is made . find its cost price ?", 400 , 267 , 287 , 480 , 811,A,Gain
"on a purchase of $ 118 , a store offered a payment plan consisting of a $ 18 down payment and 12 monthly payments of $ 10 each . what percent of the purchase price , to the nearest tenth of a percent , did the customer pay in interest by using this plan ?", 16.7 % , 16.2 % , 16.5 % , 15.5 % , 15.3 %,E,Gain
a chemical supply company has 60 liters of a 45 % hno 3 solution . how many liters of pure undiluted hno 3 must the chemists add so that the resultant solution is a 50 % solution ?, 6 , 15 , 20 , 24 , 30,A,Gain
indu gave bindu rs . 6250 on compound interest for 2 years at 4 % per annum . how much loss would indu has suffered had she given it to bindu for 2 years at 4 % per annum simple interest ?, 5 , 2 , 10 , 5 , 1,C,Gain
a lent rs . 5000 to b for 2 years and rs . 3000 to c for 4 years on simple interest at the same rate of interest and received rs . 1980 in all from both of them as interest . the rate of interest per annum is ?, 16 % , 12 % , 9 % , 10 % , 45 %,C,Gain
raman mixed 44 kg of butter at rs . 150 per kg with 36 kg butter at the rate of rs . 125 per kg . at what price per kg should he sell the mixture to make a profit of 40 % in the transaction ?, 129.25 , 287.25 , 194.25 , 188.25 , 112.25,C,Gain
"an article is bought for rs . 1200 and sold for rs . 1300 , find the loss percent ?", 8.33 % , 9.33 % , 10.00 % , 11.11 % , 7.56 %,A,Gain
"on a map , 7 centimeters represents 35 kilometers . two cities 245 kilometers apart would be separated on the map by how many centimeters ?", 15 , 37 , 49 , 110 , 180,C,Gain
"3 candidates in an election and received 3000 , 5000 and 15000 votes respectively . what % of the total votes did the winningcandidate got in that election ?", 65.21 % , 50.16 % , 57 % , 60 % , 65.24 %,A,Gain
