Question,A,B,C,D,Correct Option,Subject,GPT-3.5,GPT-4
Drug producing dissociative anesthesia:,Propofol,Enflurane,Ketamine,Sevoflurane,C,Anaesthesia,C,C
The order of sensory blockade of local anesthesia is:,Temperature - pain - touch - pressure,Pain - pressure - touch - temperature,Touch - pressure - temperature - pain,Touch - pain - pressure - temperature,A,Anaesthesia,A,A
Intravenous anaesthetic drug that doesn't induce cerebral metabolism:,Thiopentone,Ketamine,Propofol,Methohexitone,A,Anaesthesia,C,C
Drug that does not causes cardiac depression:-,Propofol,Ketamine,Etomidate,Thiopentone,C,Anaesthesia,B,B
"A resident at the emergency department is preparing for a lumbar puncture in a 26 years old female with suspected subarachnoid bleeding. Although she presented with altered sensorium, CT brain was found to be normal. During LP, which structure is pierced after the spinal needle crosses interspinous ligament?",Ligamentum flavum,Arachnoid membrane,Areolar tissue,Subarachnoid space,A,Anaesthesia,A,A
Which of the following is not an ESTER?,Amethocaine,Benzocaine,Procaine,Bupivacaine,D,Anaesthesia,C,B
Inducing agent with maximum incidence of vomiting,Ketamine,Etomidate,Thiopentone,Propofol,B,Anaesthesia,A,B
Modern monitors to measure ETC02 make use of -,Infrared absorption spectroscopy,Ultra violet rays,Laser technology,Scatter technology,A,Anaesthesia,A,A
Which gas accumulates in cavities post general anaesthesia?,Nitrous oxide,Halothane,Ether,Sevoflurane,A,Anaesthesia,A,A
Stages of anaesthesia was described by:-,WTG Moon,Oliver wendel homes,John snow,Guedel,D,Anaesthesia,A,D
Which neuromuscular blocker releases histamine,Pancuronium,Atracurium,Vecuronium,Rocuronium,B,Anaesthesia,A,A
"In spinal anesthesia, the needle is piereced upto -",Subdural space,Extradural space,Epidural space,Subarachnoid space,D,Anaesthesia,D,D
Which of the following in halational agent sensitizes myocardium to catecholamine -,Sevoflurane,Isoflurane,Ether,Halothane,D,Anaesthesia,B,D
Drug used for d-TC reversal is,Atropine,Atracurium,Diazepam,Neostigmine,D,Anaesthesia,D,D
A patient with bilirubin value of 8 mgldl and serum creatinine of 1.9 mg/dl is Planned for surgery.What is the muscle relaxant of choice in this patient-,vecuronium,Pancuronium,Atracurium,Rocuronium,C,Anaesthesia,A,A
Most sensitive method of non invasive monitoring of cardio-vascular ischemia in perioperative period is,NIBP,ECG,Pulse oximeter,TEE,D,Anaesthesia,B,D
"A 35 year old male underwent the following procedure before his surgery, After 2 days he developed headache which gets relieved by lying down.What is the definitive treatment for this?",NSAIDs and caffeine,Physiotherapy,Autologous blood patch,Caffeine,C,Anaesthesia,A,A
Spinal anesthesia is given at which of the following levels,L1-2,L2-4,Midline of thorax,Below L5,B,Anaesthesia,A,B
Which of the following is not included in neuro- axial anesthesia?,Spinal block,Epidural block,Bier's block,Caudal block,C,Anaesthesia,B,B
Which intravenous anaesthetic agent has high incidence of pychomimetic reactions during early recovery period-,Ketamine,Thiopentone,Propofol,Etomidate,A,Anaesthesia,A,A
Induction agent that may cause adrenal coex suppression is,Ketamine,Etomidate,Propofol,Thiopentone,B,Anaesthesia,B,B
Which of the following drugs is contraindicated in a patient with raised intracranial pressure?,Thiopentone,Propofol,Midazolam,Ketamine,D,Anaesthesia,A,D
The treatment of choice in diagnosed ventricular fibrillation is,Amiodarone,External cardiac massage,DC shock,Adrenaline,C,Anaesthesia,C,C
