Question,A,B,C,D
"Which figure of speech is used in this text?
Sing, O goddess, the anger of Achilles son of Peleus, that brought countless ills upon the Achaeans.
—Homer, The Iliad",chiasmus,apostrophe,,
"What does the verbal irony in this text suggest?
According to Mr. Herrera's kids, his snoring is as quiet as a jackhammer.",The snoring is loud.,The snoring occurs in bursts.,,
"Is this a sentence fragment?
During the construction of Mount Rushmore, approximately eight hundred million pounds of rock from the mountain to create the monument.",no,yes,,
"Which tense does the sentence use?
Mona will print her name with care.",present tense,future tense,past tense,
Which of the following contains a vague pronoun reference?,Steven's brother Jim wondered whether he ran fast enough to qualify for the Boston Marathon.,Steven's brother Jim wondered whether Steven ran fast enough to qualify for the Boston Marathon.,,
"Would you find the word dozen on a dictionary page with the following guide words?
daddy - definition",no,yes,,
"Which word would you find on a dictionary page with the following guide words?
shot - suit",service,stockade,,
"Which figure of speech is used in this text?
The salesperson tried hard to convince Franklin that the jacket was a good buy; after all, it was made of genuine imitation leather.",hyperbole,oxymoron,,
"Read the following excerpt from a student essay. How can the writer best improve his or her word choice?
When I said that I wanted to take a cooking class, I didn't know what I was getting into. I love cooking, but I'm very shy and hate being in the spotlight. The first time the teacher asked me to do a culinary technique, my hands were sweating profusely. As I held the heavy utility knife in my sweaty hand, it fell to the floor. The class had just started, and I had already made a terrible first impression! My face was red, but I got the knife, put it in the sink, took a clean one, and cut the slab of raw bluefin tuna into paper-thin pieces. Everyone in the class—even the instructor—gave me a round of applause.",by adding technical terms,by using more precise verbs,by using words with more appropriate connotations,
"Which figure of speech is used in this text?
Hunter remarked that the new book on anti-gravity was impossible to put down.",alliteration,pun,,
"Complete the sentence so that it uses personification.
A light spattering of raindrops fell upon the stadium, () the fans' cheeks.",landing on,kissing,,
"Which word would you find on a dictionary page with the following guide words?
file - four",flea,fatigue,,
"Which figure of speech is used in this text?
Ariel gazed at the ancient pug that seemed to sleep all day and noted, ""You're an energetic puppy!""",idiom,verbal irony,,
"What is the source of the allusion in the sentence below?
Michael dropped out of college to travel the world, but a year later, the prodigal son returned home and re-enrolled.",the Bible,British history,,
"Would you find the word oasis on a dictionary page with the following guide words?
orange - ought",no,yes,,
Which is a compound sentence?,Last night we heard an owl outside in the oak tree.,"I ate all of my dinner, so I can have some pie.",,
"Is this a run-on sentence?
If you have a hankering for a delicious bowl of soup, you should try Mr. Montoya's smoked French onion soup made with Vidalia onions, smoked Gruyère cheese, and fresh thyme.",no,yes,,
"Last year, there were seven men's clothing stores on Main Street in Springtown. This year, there are only three. What probably happened to the overall supply of men's shirts in Springtown?",The supply probably went up.,The supply probably went down.,,
"Would you find the word forgot on a dictionary page with the following guide words?
false - fro",yes,no,,
Which sentence states a fact?,The prettiest parts of the Rocky Mountains are in the state of Wyoming.,"In the United States, the Rocky Mountains stretch from New Mexico to Montana.",,
"Which word would you find on a dictionary page with the following guide words?
imitate - iron",itch,inherit,,
"Would you find the word miracle on a dictionary page with the following guide words?
mean - mumps",no,yes,,
Which greeting is correct for a letter?,"Dear ms. Allen,","Dear Ms. Allen,",,
Which is a simple sentence?,"In the early morning, I drank tea by a spice stall as the Turkish bazaar came to life.",The gutters were full of leaves and in need of cleaning.,,
"Which figure of speech is used in this text?
Rebecca's Bistro used to be a great place to go for a delicious and carefully prepared dinner, but nobody goes there anymore: it's too crowded.",apostrophe,paradox,,
"Would you find the word streak on a dictionary page with the following guide words?
serpent - skirt",yes,no,,
"Which figure of speech is used in this text?
After spending weeks in New York City, Florence was a bit unnerved by the deafening silence of her small hometown.",oxymoron,euphemism,,
"Which tense does the sentence use?
Mr. Norman signed his name on the letter.",past tense,present tense,future tense,
"Would you find the word bruise on a dictionary page with the following guide words?
blush - buffalo",no,yes,,
Which text uses the word literally in its traditional sense?,Cara adores the classic Renaissance style of the Rialto Bridge in Venice. She was surprised to learn that the bridge remains functional even though it is literally a million years old.,Cara adores the classic Renaissance style of the Rialto Bridge in Venice. She was surprised to learn that the bridge remains functional even though it is literally hundreds of years old.,,
"Which logical fallacy is used in the text?
Did you really vote for Richard as class treasurer? Didn't you hear that his uncle was imprisoned for embezzling $1.5 million?",circular reasoning: an argument that supports a claim with the claim itself,guilt by association: a negative association intended to discredit someone or something,,
"What does the metaphor in this text suggest?
All religions, arts, and sciences are branches of the same tree.
—Albert Einstein","All religions, arts, and sciences are distant from one another.","All religions, arts, and sciences are related.",,
Which sentence is more formal?,People who did not grow up playing or watching cricket often find it difficult to understand the rules of the sport.,People who didn't grow up playing or watching cricket often can't understand the rules of the sport.,,
"Would you find the word pig on a dictionary page with the following guide words?
pardon - polish",no,yes,,
"What does the verbal irony in this text suggest?
""This is the best day of my life,"" Mr. Hogan mumbled after his car broke down on the way to an important job interview.",Mr. Hogan was having a bad day.,Mr. Hogan liked fixing cars.,,
"Would you find the word import on a dictionary page with the following guide words?
ill - industry",no,yes,,
"What does the allusion in this text suggest?
Tyler seems to have the Midas touch. Without any special experience or training, he launched a thriving business and then established a well-respected charity.",Tyler is successful at all that he does.,Tyler has a hands-on approach to his work.,,
Which is a complete sentence?,"In summer, insects always fly around the pond.",A bag of beans.,,
"Which word would you find on a dictionary page with the following guide words?
garage - goose",guess,glow,,
Which is a complex sentence?,"According to many scholars, the 1798 publication of Lyrical Ballads by Samuel Taylor Coleridge and William Wordsworth began the romantic period in English literature.","Although presidential elections take place in early November, a president's term does not begin until the end of January.",,
"Complete the sentence so that it uses personification.
""You might think you'll always be young,"" Mrs. Hensley counseled, ""but time ()"".",creeps up on you,affects everyone,,
"Which tense does the sentence use?
Scientists will measure the rainfall in Greenville.",present tense,past tense,future tense,
"Which tense does the sentence use?
Reba chops onions for the tomato sauce.",future tense,past tense,present tense,
"Which figure of speech is used in this text?
""This mattress is as soft as concrete,"" Tyler complained as he tested the bed in his hotel room.",verbal irony,personification,,
Is a travel bag a good or a service?,a good,a service,,
"What does the idiom in this text suggest?
""Speak of the devil!"" Whitney declared when Charlie strolled into the room.",Whitney had just been speaking about Charlie.,Whitney didn't trust Charlie.,,
"Which figure of speech is used in this text?
""There's nothing I love more than skipping lunch,"" Mr. Crawford told the flight attendant when he learned that no food would be available on his cross-country flight.",allusion,verbal irony,,
"Last year, 50,000 people lived in the city of Belmont. But since then, 8,000 people have moved away. What probably happened to the overall supply of houses for sale in Belmont?",The supply probably went up.,The supply probably went down.,,
"Would you find the word scoop on a dictionary page with the following guide words?
seam - sheriff",yes,no,,
Which correctly shows the title of a book?,***The Lion and the Mouse***,"""The Lion and the Mouse""",,
"What does the verbal irony in this text suggest?
""It was my good luck to have to study for a test while all my friends went to the water park,"" Noah remarked.",Noah wanted time to catch up on his responsibilities.,Noah was upset about staying home.,,
"Is this a run-on sentence?
Dust particles around nine nearby stars may have been caused by long-ago collisions between melting comets and asteroids.",yes,no,,
"Which word would you find on a dictionary page with the following guide words?
patient - private",pit,public,,
Which organizational structure does this text primarily use?,compare-contrast,problem-solution,,
"Which tense does the sentence use?
Scientists will measure the rainfall in Lancaster.",past tense,future tense,present tense,
"Which logical fallacy is used in the text?
Don't ever get a ride from Mariana. Her brother has been driving for only six months, and he's already gotten three speeding tickets.",guilt by association: a negative association intended to discredit someone or something,circular reasoning: an argument that supports a claim with the claim itself,,
"Which type of sentence is this?
Mia is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",compound-complex,compound,simple,complex
"Which tense does the sentence use?
Nicole learns about her ancestors in the book.",future tense,present tense,past tense,
"What kind of sentence is this?
I write for the school newspaper.",interrogative,declarative,,
Suppose Jordan decides to plant the chrysanthemums. Which result would be a cost?,He will save some space. The chrysanthemums will use up less space than the magnolia tree would have used up.,Jordan will give up the chance to look at the magnolia tree. He thinks it would have looked more beautiful than the chrysanthemums.,,
"Which word would you find on a dictionary page with the following guide words?
scribble - spade",sleepy,sweat,,
Which is a run-on sentence?,"The event was exciting it had music, a show and food.",Tina will ride her bike this weekend.,,
"Which figure of speech is used in this text?
The moon is a friend for the lonesome to talk with.
—Carl Sandburg, ""Moonlight and Maggots""",personification,simile,,
"What does the allusion in this text suggest?
With the gutters clogged and water rising in the streets, Lacey, who was watching the storm from her window, commented, ""We're going to need an ark to get out of here.""",Lacey wants to protect her possessions.,Lacey thinks the storm will cause major flooding.,,
"Which figure of speech is used in this text?
Well, that's cast rather a gloom over the evening, hasn't it?
—Dinner guest, after a visit from the Grim Reaper, in Monty Python's The Meaning of Life",understatement,antithesis,,
"Which word would you find on a dictionary page with the following guide words?
papoose - pliers",pedal,purple,,
"What is the source of the allusion in the sentence below?
Polly anticipated that the free makeover her friend was promising would turn out to be a Trojan horse.",Greek mythology,the Bible,,
"What is the source of the allusion in the sentence below?
When I learned the details of Lillian's Faustian bargain, I was in disbelief.",literature,Roman mythology,,
Which announcement is more formal?,The Danville Law Firm is so happy to tell you . . .,The Danville Law Firm is pleased to announce . . .,,
"Which figure of speech is used in this text?
The grave's a fine and private place,
But none, I think, do there embrace.
—Andrew Marvell, ""To His Coy Mistress""",understatement,paradox,,
Suppose Jennifer decides to make cream of mushroom soup. Which result would be a cost?,The cream of mushroom soup will be tastier than the onion soup would have been.,Jennifer will spend more time making the cream of mushroom soup than she would have spent making the onion soup.,,
"What kind of sentence is this?
Why is your position on sales tax so different from your stance toward related issues?",interrogative,imperative,declarative,
"What kind of sentence is this?
What rights do the first ten amendments to the Constitution guarantee Americans?",interrogative,declarative,imperative,
Which text uses the word can in its traditional sense?,"As they observed the animals on the open grassland, the wildlife photographer said to Kevin, ""Did you know that cheetahs can run as fast as seventy-five miles per hour?""","As they observed the cheetahs on the open grassland, the wildlife photographer said to Kevin, ""You can borrow my camera if you want.""",,
Which text structure does the text use?,sequential,cause-effect,,
"Complete the sentence so that it uses personification.
The stars () as we gazed up in wonder.",glowed,winked,,
"Which logical fallacy is used in the text?
Eating meat can't be wrong. After all, a majority of people in the United States eat meat.",bandwagon fallacy: the assumption that the popular choice is automatically correct,straw man: a misrepresentation of an opponent's position that makes it easier to argue against,"false causation: the assumption that because two things happened together, one caused the other",
"Which figure of speech is used in this text?
From forth the fatal loins of these two foes
A pair of star-cross'd lovers take their life.
—William Shakespeare, Romeo and Juliet",onomatopoeia,alliteration,,
"Which figure of speech is used in this text?
Norma's phone slipped out of her pocket, landing in the toilet with a plop.",verbal irony,onomatopoeia,,
"What does the euphemism in this text suggest?
William is big-boned, so despite being in middle school, he often shops in the men's department.",William is tall for his age.,William is overweight.,,
"What is the source of the allusion in the sentence below?
By the time Sarah had finished explaining to Mr. Kramer what had happened, her friends were laughingly referring to her as Scheherazade.",ancient legend,the Bible,,
"Which word would you find on a dictionary page with the following guide words?
pile - push",pecan,pot,,
"Would you find the word nature on a dictionary page with the following guide words?
neither - nuisance",yes,no,,
"What is the source of the allusion in the sentence below?
Red velvet cupcakes were Mabel's Achilles's heel when she was trying to eat more healthily.",Greek mythology,the Bible,,
"What is the source of the allusion in the sentence below?
Bobby spoke at the city council meeting, claiming the new recycling regulations were draconian.",a fairy tale,Greek history,,
"What kind of sentence is this?
Roger is the best cook I know!",interrogative,exclamatory,,
"Which tense does the sentence use?
Mrs. Murphy will reply to Grayson's question about space.",past tense,future tense,present tense,
"Which tense does the sentence use?
Dad will sew a patch on my pants.",present tense,past tense,future tense,
"Last year, there were seven men's clothing stores on Main Street in Norwood. This year, there are only three. What probably happened to the overall supply of men's shirts in Norwood?",The supply probably went up.,The supply probably went down.,,
Which sentence uses a metaphor?,The tired boy was a slow turtle.,The tired boy was as slow as a turtle.,,
Which text uses the word factoid in its traditional sense?,"As a geneticist, Suzie dislikes many popular sci-fi movies because they often present audiences with factoids that misrepresent her field.","As a geneticist, Suzie enjoys watching science documentaries and sharing various factoids she's learned with her colleagues.",,
"Which figure of speech is used in this text?
Derek remarked that the new book on anti-gravity was impossible to put down.",pun,allusion,,
"Would you find the word snout on a dictionary page with the following guide words?
sheep - spoil",no,yes,,
"Which figure of speech is used in this text?
Tara's Bistro used to be a great place to go for a delicious and carefully prepared dinner, but nobody goes there anymore: it's too crowded.",oxymoron,paradox,,
"Which figure of speech is used in this text?
The old wooden rocking chair that Norma brought home from the rummage sale was as comfortable as a bed of nails.",verbal irony,pun,,
"What kind of sentence is this?
The likelihood of two people having the same set of fingerprints is incredibly low.",declarative,exclamatory,interrogative,
"Which logical fallacy is used in the text?
You may be impressed by Senator Murphy's work with low-income communities, but the fact remains that he graduated from an elite university. He couldn't possibly empathize with low-income constituents.",hasty generalization: a broad claim based on too few observations,bandwagon fallacy: the assumption that the popular choice is automatically correct,guilt by association: a negative association intended to discredit someone or something,
Which text uses the word disinterested in its traditional sense?,Patrick is disinterested in reading page after page of restaurant reviews on the Internet; he prefers to try out new restaurants for himself and make up his own mind.,The restaurant reviews on this website are not exactly disinterested—restaurants can pay to remove unflattering reviews—but Patrick still finds it useful for finding new places to eat.,,
"What does the idiom in this text suggest?
In such an unfamiliar environment, Dirk was a fish out of water.",Dirk felt out of place.,Dirk had not visited that location before.,,
"Which logical fallacy is used in the text?
I don't trust Professor Chang's findings. Another researcher at her university was caught falsifying data. So, it's likely Professor Chang has, too.",straw man: a misrepresentation of an opponent's position that makes it easier to argue against,guilt by association: a negative association intended to discredit someone or something,bandwagon fallacy: the assumption that the popular choice is automatically correct,
Suppose Isabelle decides to see the storks. Which result would be a cost?,Isabelle will enjoy seeing the storks more than she would have enjoyed seeing the cranes.,"Isabelle will spend more time walking to the storks. They are on the other side of the zoo, but the cranes are close by.",,
"What is the source of the allusion in the sentence below?
Sappy love songs are Kryptonite to my otherwise stoic father.",U.S. history,a comic,,
"What is the source of the allusion in the sentence below?
When it comes to starting new businesses, Kinsley seems to have a Midas touch.",the Bible,Greek mythology,,
"Which tense does the sentence use?
We will miss you very much!",past tense,future tense,present tense,
"What is the source of the allusion in the sentence below?
The politician's staff decided it was time to get off the Titanic, so they left the campaign and started looking for other jobs.",history,a song,,
"Which logical fallacy is used in the text?
Does she do well in school because she's smart, or is it because she works hard?",slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,"ad hominem: an attack against the person making the argument, rather than the argument itself",false dichotomy: an argument that presents only two choices when more options exist,
"What does the simile in this text suggest?
A simple change of scenery can be like an ice-cold lemonade on a warm summer day.",Spending time in a different place is refreshing.,A cold climate is invigorating.,,
"Which tense does the sentence use?
Katie and Liz race down the hill.",present tense,future tense,past tense,
"What is the source of the allusion in the sentence below?
Whitney told her friends that Alvin was a typical Peter Pan type.",literature,Greek mythology,,
"Which logical fallacy is used in the text?
Jackson is not qualified to run the Environmental Club. Have you seen his sister's huge, horrifically inefficient car? The planet cries whenever she turns on the ignition.",slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,guilt by association: a negative association intended to discredit someone or something,straw man: a misrepresentation of an opponent's position that makes it easier to argue against,
"Which figure of speech is used in this text?
Would you please be careful with my new laptop? That thing cost a million dollars!",euphemism,hyperbole,,
Is a toy a good or a service?,a good,a service,,
"What is the source of the allusion in the sentence below?
Troy's Falstaffian nature makes him stand out at a party.",Greek mythology,Shakespeare,,
"Which figure of speech is used in this text?
At twenty-one, Jamal felt overwhelmed with adult responsibilities and wished he could fly off to Neverland.",allusion,onomatopoeia,,
"What does the verbal irony in this text suggest?
""Sleeping through the rooster's crowing was no problem,"" Brennan joked with a yawn.",Brennan finds roosters amusing.,Brennan slept poorly.,,
"Would you find the word radio on a dictionary page with the following guide words?
rescue - road",yes,no,,
"Would you find the word belief on a dictionary page with the following guide words?
bind - bug",yes,no,,
"What is the source of the allusion in the sentence below?
Yesterday's tennis match was a classic David and Goliath story, with Stanley playing against his former team captain, Richard.",the Bible,a poem,,
"Complete the sentence so that it uses personification.
The wind () dispersed the leaves that Zack had spent so long raking.",completely,carelessly,,
"Which logical fallacy is used in the text?
Last year, the city of Hillsdale allocated more money to public parks. This year, however, littering increased, so the increase in park funding must have been responsible.","false causation: the assumption that because two things happened together, one caused the other",false dichotomy: an argument that presents only two choices when more options exist,,
Suppose Jayden decides to take a trip to Nevada. Which result would be a cost?,Jayden will enjoy his trip to Nevada more than he would have enjoyed a trip to Connecticut.,Jayden will spend more money. Plane tickets for Jayden to get to Nevada are more expensive than tickets to Connecticut.,,
"Would you find the word period on a dictionary page with the following guide words?
pity - practice",no,yes,,
"Which figure of speech is used in this text?
Jonathan's room is as tidy as an overgrown garden.",pun,verbal irony,,
Suppose Natalie decides to make potato soup. Which result would be a cost?,Natalie will save some time. The beef barley soup would have taken longer to make than the potato soup.,"Natalie will give up the chance to eat the beef barley soup, which would have been tastier than the potato soup.",,
Is a toothbrush a good or a service?,a service,a good,,
"Which figure of speech is used in this text?
He had hoped to find his missing watch, but he couldn't find the time.",allusion,pun,,
Suppose Tommy decides to plant the gardenias. Which result would be a cost?,Tommy will give up the chance to look at the palm tree. He thinks it would have looked more beautiful than the gardenias.,He will save some space. The gardenias will use up less space than the palm tree would have used up.,,
"Which figure of speech is used in this text?
Tara swore she would never go back to Hampton, but I told her she should never say never. The city might be a very different place in ten years.",paradox,oxymoron,,
"Which word would you find on a dictionary page with the following guide words?
neck - nobody",nice,nation,,
Is driving a taxi a good or a service?,a good,a service,,
"Which word would you find on a dictionary page with the following guide words?
beetle - black",bid,back,,
"Read the following excerpt from a student essay. How can the writer best improve his or her grammar and mechanics?
Self-expression is important, therefore, you should be yourself no matter what other people think. People might express their inner selves through music, art, or writing, through foods they eat, cook, and serve others, or through their home decor. I choose to express myself through my clothing and my hairstyle. When I was eight years old, my mother taught me how to sew, now I make all of my own clothes. I also dye my hair crazy colors, like green or blue. Sometimes people stare at me and seem to wonder why I look the way I do. My answer is, ""I just gotta be me!""",by adding missing commas,by using semicolons correctly,by punctuating the quotation correctly,
Suppose Raymond decides to take a trip to Rhode Island. Which result would be a cost?,Raymond will spend more money. Plane tickets for Raymond to get to Rhode Island are more expensive than tickets to Illinois.,Raymond will enjoy his trip to Rhode Island more than he would have enjoyed a trip to Illinois.,,
Which text uses the word unique in its traditional sense?,"The Supreme Court case Miranda v. Arizona, which led to the institution of the Miranda warning, was quite unique in that it had significant implications for law enforcement. Only a handful of Supreme Court decisions have had such an impact on daily police procedure.","The Miranda warning, the reading of rights given to a suspect by police prior to questioning, is not unique to the United States; a number of other countries have equivalent rights, including Australia, South Africa, Switzerland, Thailand, and Kazakhstan.",,
"Which tense does the sentence use?
The cook will freeze the meat for another time.",past tense,present tense,future tense,
"Complete the sentence so that it uses personification.
The midday sun () the hikers.",glared at,warmed,,
"Which tense does the sentence use?
Ellie practices the drums in her family's garage.",present tense,past tense,future tense,
Suppose Nancy decides to watch the comedy. Which result would be a cost?,Nancy will get to watch the movie that she is more excited about.,Nancy will give up the chance to watch a movie with her sister.,,
"What is the source of the allusion in the sentence below?
Clara told her friends that Farid was a typical Peter Pan type.",a song,literature,,
"Complete the sentence so that it uses personification.
The butterflies flitted from flower to flower, ().",playing hide-and-seek,floating gently,,
Suppose Cameron decides to plant the amaryllises. Which result would be a cost?,Cameron will give up the chance to look at the magnolia tree. He thinks it would have looked more beautiful than the amaryllises.,He will save some space. The amaryllises will use up less space than the magnolia tree would have used up.,,
"Which figure of speech is used in this text?
What thoughts I have of you tonight Walt Whitman, for I walked down the sidestreets under the trees with a headache self-conscious looking at the full moon.
—Allen Ginsberg, ""A Supermarket in California""",antithesis,apostrophe,,
"Would you find the word did on a dictionary page with the following guide words?
dangle - drank",no,yes,,
Suppose Eva decides to plant the tulips. Which result would be a cost?,She will save some space. The tulips will use up less space than the hickory tree would have used up.,Eva will give up the chance to look at the hickory tree. She thinks it would have looked more beautiful than the tulips.,,
"Would you find the word pink on a dictionary page with the following guide words?
parrot - property",yes,no,,
"What kind of sentence is this?
Reagan considers Paris the most romantic city in the world.",interrogative,exclamatory,declarative,
"What is the source of the allusion in the sentence below?
Diana was known among her coworkers for her spartan ways.",the Bible,Greek history,,
"Complete the sentence so that it uses personification.
The heavy door () as Edna pushed it open.",protested,creaked,,
Which text uses the word terribly in its traditional sense?,"Ronald shivered terribly as he gazed at the snow-clad slope. After calming his nerves, he began his descent.","Ronald shivered as he gazed at the terribly steep, snowy slope. After calming his nerves, he began his descent.",,
"Would you find the word material on a dictionary page with the following guide words?
midst - mosquito",yes,no,,
"Which logical fallacy is used in the text?
Mayor Preston wants to create more bicycle lanes in Bloomington. However, many citizens of Bloomington live far from work. It would not be realistic to force us to give up our cars and bike everywhere.",appeal to nature: the assumption that natural things are always good,straw man: a misrepresentation of an opponent's position that makes it easier to argue against,guilt by association: a negative association intended to discredit someone or something,
"Would you find the word nor on a dictionary page with the following guide words?
nap - neither",no,yes,,
"Which type of sentence is this?
Aisha is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",complex,compound-complex,simple,compound
"Complete the sentence so that it uses personification.
The washing machine () when Doug ran an oversized load of laundry.",complained,broke,,
"Would you find the word wild on a dictionary page with the following guide words?
well - word",no,yes,,
"What kind of sentence is this?
Please take some time to think about my offer before you respond.",exclamatory,interrogative,imperative,
Suppose Bryant decides to take a trip to Connecticut. Which result would be a cost?,Bryant will spend more money. Plane tickets for Bryant to get to Connecticut are more expensive than tickets to Iowa.,Bryant will enjoy his trip to Connecticut more than he would have enjoyed a trip to Iowa.,,
"Would you find the word mumble on a dictionary page with the following guide words?
medicine - mid",yes,no,,
"Which word would you find on a dictionary page with the following guide words?
scenery - social",stall,smuggle,,
"Would you find the word rumble on a dictionary page with the following guide words?
remote - rob",yes,no,,
"Last year, there were seven men's clothing stores on Main Street in Stafford. This year, there are only three. What probably happened to the overall supply of men's shirts in Stafford?",The supply probably went down.,The supply probably went up.,,
"What does the idiom in this text suggest?
""Speak of the devil!"" Shelley declared when Kenji strolled into the room.",Shelley had just been speaking about Kenji.,Shelley thought Kenji was a troublemaker.,,
"Which tense does the sentence use?
Molly will exercise with Owen in the morning.",future tense,past tense,present tense,
Suppose Mia decides to go as a superhero. Which result would be a cost?,Mia will give up the chance to wear the costume she is more excited about.,Mia will save some time and money. She won't have to go out and get a new costume.,,
"Which logical fallacy is used in the text?
A rainbow appeared in the sky the day before basketball tryouts, and I made the team! If there's a rainbow when I try out in the spring, I'm sure I'll make the team again.",ad hominem: a personal attack against one's opponent,"false causation: the assumption that because two things happened together, one caused the other",,
"What is the source of the allusion in the sentence below?
A modern-day Icarus, Miranda launched into the first stretch of the marathon at a breakneck pace.",Shakespeare,Greek mythology,,
