Question,A,B,C,D,Correct Option,Subject,GPT-3.5,GPT-4,Eval GPT-3.5,Eval GPT-4
Drug producing dissociative anesthesia:,Propofol,Enflurane,Ketamine,Sevoflurane,C,Anaesthesia,C,C,1,1
The order of sensory blockade of local anesthesia is:,Temperature - pain - touch - pressure,Pain - pressure - touch - temperature,Touch - pressure - temperature - pain,Touch - pain - pressure - temperature,A,Anaesthesia,A,A,1,1
Intravenous anaesthetic drug that doesn't induce cerebral metabolism:,Thiopentone,Ketamine,Propofol,Methohexitone,A,Anaesthesia,C,C,0,0
Drug that does not causes cardiac depression:-,Propofol,Ketamine,Etomidate,Thiopentone,C,Anaesthesia,B,B,0,0
"A resident at the emergency department is preparing for a lumbar puncture in a 26 years old female with suspected subarachnoid bleeding. Although she presented with altered sensorium, CT brain was found to be normal. During LP, which structure is pierced after the spinal needle crosses interspinous ligament?",Ligamentum flavum,Arachnoid membrane,Areolar tissue,Subarachnoid space,A,Anaesthesia,A,A,1,1
Which of the following is not an ESTER?,Amethocaine,Benzocaine,Procaine,Bupivacaine,D,Anaesthesia,C,B,0,0
Inducing agent with maximum incidence of vomiting,Ketamine,Etomidate,Thiopentone,Propofol,B,Anaesthesia,A,B,0,1
Modern monitors to measure ETC02 make use of -,Infrared absorption spectroscopy,Ultra violet rays,Laser technology,Scatter technology,A,Anaesthesia,A,A,1,1
Which gas accumulates in cavities post general anaesthesia?,Nitrous oxide,Halothane,Ether,Sevoflurane,A,Anaesthesia,A,A,1,1
Stages of anaesthesia was described by:-,WTG Moon,Oliver wendel homes,John snow,Guedel,D,Anaesthesia,A,D,0,1
Which neuromuscular blocker releases histamine,Pancuronium,Atracurium,Vecuronium,Rocuronium,B,Anaesthesia,A,A,0,0
"In spinal anesthesia, the needle is piereced upto -",Subdural space,Extradural space,Epidural space,Subarachnoid space,D,Anaesthesia,D,D,1,1
Which of the following in halational agent sensitizes myocardium to catecholamine -,Sevoflurane,Isoflurane,Ether,Halothane,D,Anaesthesia,B,D,0,1
Drug used for d-TC reversal is,Atropine,Atracurium,Diazepam,Neostigmine,D,Anaesthesia,D,D,1,1
